"PointID","x","y","z","Pressure","Velocity_x","Velocity_y","Velocity_z","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Skin_Friction_Coefficient_z","Heat_Flux","Y_Plus","Eddy_Viscosity"
78960, -3.526629065654328e-002, -3.544257805704941e-002, 0.000000000000000e+000, -5.166603945899731e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -1.033320789179946e+000, 1.000000000000000e+000, 1.000000000000000e-005, 3.948482604727815e-002, -3.860886206228308e-002, -5.356942171893811e-005, -0.000000000000000e+000, 1.661679393627010e+000, 0.000000000000000e+000
78961, -3.526629088937393e-002, -3.544257805704940e-002, 6.896552212279052e-004, -5.161695579599330e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -1.032339115919866e+000, 1.000000000000000e+000, 1.000000000000000e-005, 3.925510365395432e-002, -3.838423622519516e-002, 9.670343981510836e-005, -0.000000000000000e+000, 1.656839420703715e+000, 0.000000000000000e+000
78962, -3.619982216745803e-002, -3.448779249025495e-002, 0.000000000000000e+000, -4.624533381369350e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -9.249066762738700e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.762987399529312e-002, -3.953684246132336e-002, -6.072953113365531e-005, -0.000000000000000e+000, 1.641979279941270e+000, 0.000000000000000e+000
78963, -3.619982227751503e-002, -3.448779237340301e-002, 6.896552212279258e-004, -4.620313475023970e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -9.240626950047940e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.742875097786044e-002, -3.932553032160745e-002, 1.060425939219265e-004, -0.000000000000000e+000, 1.637586490224616e+000, 0.000000000000000e+000
78964, -3.710733100927676e-002, -3.350823939702800e-002, 0.000000000000000e+000, -4.161804256484873e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -8.323608512969746e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.642227193742353e-002, -4.031143539896036e-002, -6.718369689840745e-005, -0.000000000000000e+000, 1.628891795855472e+000, 0.000000000000000e+000
78965, -3.710733111401686e-002, -3.350823928129536e-002, 6.896552212279267e-004, -4.157921572705722e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -8.315843145411445e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.624296434002337e-002, -4.011298148667946e-002, 1.102388231097874e-004, -0.000000000000000e+000, 1.624878384151270e+000, 0.000000000000000e+000
78966, -3.799010787050661e-002, -3.250634041324477e-002, 0.000000000000000e+000, -3.695361930054751e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -7.390723860109502e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.551106345904392e-002, -4.148209620004873e-002, -7.409813112070318e-005, -0.000000000000000e+000, 1.624440624704784e+000, 0.000000000000000e+000
78967, -3.799010796985906e-002, -3.250634029897974e-002, 6.896552212279278e-004, -3.691790163128248e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -7.383580326256497e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.535112105259049e-002, -4.129526034147922e-002, 1.131869845531902e-004, -0.000000000000000e+000, 1.620779255310296e+000, 0.000000000000000e+000
78968, -3.884392221403997e-002, -3.147964784621170e-002, 0.000000000000000e+000, -3.221417910170215e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -6.442835820340429e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.358427444691441e-002, -4.148852129765301e-002, -8.070046585973529e-005, -0.000000000000000e+000, 1.598244032057433e+000, 0.000000000000000e+000
78969, -3.884392230569141e-002, -3.147964773192945e-002, 6.896552212279291e-004, -3.218168100888711e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -6.436336201777422e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.344687121487794e-002, -4.131877962018846e-002, 1.142236997572204e-004, -0.000000000000000e+000, 1.594972167400381e+000, 0.000000000000000e+000
