"PointID","x","y","z","Pressure","Velocity_x","Velocity_y","Velocity_z","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Skin_Friction_Coefficient_z","Heat_Flux","Y_Plus","Eddy_Viscosity"
78960, -3.526629065654328e-002, -3.544257805704941e-002, 0.000000000000000e+000, -4.963571965180194e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -9.927143930360388e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.924690266651779e-002, -3.837621696757143e-002, -6.408418467576926e-005, -0.000000000000000e+000, 1.656665620147020e+000, 0.000000000000000e+000
78961, -3.526629088937393e-002, -3.544257805704940e-002, 6.896552212279052e-004, -4.957027696941335e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -9.914055393882670e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.901861007052027e-002, -3.815298920658204e-002, 7.292858158921590e-005, -0.000000000000000e+000, 1.651840497309756e+000, 0.000000000000000e+000
78962, -3.619982216745803e-002, -3.448779249025495e-002, 0.000000000000000e+000, -4.431219011485207e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -8.862438022970414e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.740815210432153e-002, -3.930388437350035e-002, -7.138551013294112e-005, -0.000000000000000e+000, 1.637134918312524e+000, 0.000000000000000e+000
78963, -3.619982227751503e-002, -3.448779237340301e-002, 6.896552212279258e-004, -4.425373402502906e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -8.850746805005812e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.720796105697183e-002, -3.909355141447986e-002, 8.200959591975294e-005, -0.000000000000000e+000, 1.632748719883886e+000, 0.000000000000000e+000
78964, -3.710733100927676e-002, -3.350823939702800e-002, 0.000000000000000e+000, -3.977133520967204e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -7.954267041934407e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.620956550563917e-002, -4.007601621372472e-002, -7.799967482917825e-005, -0.000000000000000e+000, 1.624128684889994e+000, 0.000000000000000e+000
78965, -3.710733111401686e-002, -3.350823928129536e-002, 6.896552212279267e-004, -3.971609025859495e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -7.943218051718991e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.603090523389054e-002, -3.987827874772271e-002, 8.588143779551185e-005, -0.000000000000000e+000, 1.620117144558441e+000, 0.000000000000000e+000
78966, -3.799010787050661e-002, -3.250634041324477e-002, 0.000000000000000e+000, -3.519317080960728e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -7.038634161921457e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.530478582833877e-002, -4.124113387202875e-002, -8.503463560499812e-005, -0.000000000000000e+000, 1.619715953571320e+000, 0.000000000000000e+000
78967, -3.799010796985906e-002, -3.250634029897974e-002, 6.896552212279278e-004, -3.514082394518707e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -7.028164789037414e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.514517217615487e-002, -4.105468204531832e-002, 8.849572891204765e-005, -0.000000000000000e+000, 1.616050515659259e+000, 0.000000000000000e+000
78968, -3.884392221403997e-002, -3.147964784621170e-002, 0.000000000000000e+000, -3.053885825757961e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -6.107771651515922e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.339134353317576e-002, -4.125018301417979e-002, -9.165261428390914e-005, -0.000000000000000e+000, 1.593646997232754e+000, 0.000000000000000e+000
78969, -3.884392230569141e-002, -3.147964773192945e-002, 6.896552212279291e-004, -3.048963810792145e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -6.097927621584290e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.325386571124597e-002, -4.108034919067065e-002, 8.947397457858350e-005, -0.000000000000000e+000, 1.590362911768166e+000, 0.000000000000000e+000
78970, -3.967028035703804e-002, -3.043072993715944e-002, 0.000000000000000e+000, -2.613043687983150e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -5.226087375966301e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.154069352415329e-002, -4.108010422009641e-002, -9.762015896705307e-005, -0.000000000000000e+000, 1.567254462472759e+000, 0.000000000000000e+000
78971, -3.967028044353045e-002, -3.043072982480310e-002, 6.896552212279300e-004, -2.608316526946784e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -5.216633053893568e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.142297373904657e-002, -4.092678046692223e-002, 8.971825848140697e-005, -0.000000000000000e+000, 1.564326779473328e+000, 0.000000000000000e+000
78972, -4.047019667721721e-002, -2.936151038948029e-002, 0.000000000000000e+000, -2.159991227234982e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -4.319982454469963e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.016865723023150e-002, -4.156839936550373e-002, -1.037518311390797e-004, -0.000000000000000e+000, 1.554322906263576e+000, 0.000000000000000e+000
78973, -4.047019675847128e-002, -2.936151027947216e-002, 6.896552212279309e-004, -2.155485753612703e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -4.310971507225407e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.006680487707228e-002, -4.142806052819603e-002, 9.144910035645417e-005, -0.000000000000000e+000, 1.551696571755374e+000, 0.000000000000000e+000
78974, -4.123877776968057e-002, -2.826954900521353e-002, 0.000000000000000e+000, -1.698870473069273e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -3.397740946138547e-001, 1.000000000000000e+000, 1.000000000000000e-005, 2.802033528913849e-002, -4.093059429621779e-002, -1.086030486777031e-004, -0.000000000000000e+000, 1.521756284007337e+000, 0.000000000000000e+000
78975, -4.123877784355614e-002, -2.826954889639577e-002, 6.896552212279319e-004, -1.694632040083670e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -3.389264080167340e-001, 1.000000000000000e+000, 1.000000000000000e-005, 2.793486827187135e-002, -4.080574884979477e-002, 9.178169281656260e-005, -0.000000000000000e+000, 1.519433187256092e+000, 0.000000000000000e+000
78976, -4.197870084983381e-002, -2.715796887050165e-002, 0.000000000000000e+000, -1.266627145750473e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -2.533254291500946e-001, 1.000000000000000e+000, 1.000000000000000e-005, 2.617235244067018e-002, -4.040279972008047e-002, -1.126900095292846e-004, -0.000000000000000e+000, 1.494062422078569e+000, 0.000000000000000e+000
78977, -4.197870091883860e-002, -2.715796876437762e-002, 6.896552212279328e-004, -1.262567448834562e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -2.525134897669123e-001, 1.000000000000000e+000, 1.000000000000000e-005, 2.610025391718681e-002, -4.029149984815437e-002, 9.166891697724554e-005, -0.000000000000000e+000, 1.492002429317919e+000, 0.000000000000000e+000
78978, -4.269064831382462e-002, -2.602826653406664e-002, 0.000000000000000e+000, -8.233937984725288e-002, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -1.646787596945058e-001, 1.000000000000000e+000, 1.000000000000000e-005, 2.472191797191036e-002, -4.053950858257481e-002, -1.170295956380127e-004, -0.000000000000000e+000, 1.479332748155557e+000, 0.000000000000000e+000
78979, -4.269064837787558e-002, -2.602826643114093e-002, 6.896552212279338e-004, -8.195369629481360e-002, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -1.639073925896272e-001, 1.000000000000000e+000, 1.000000000000000e-005, 2.466029527424586e-002, -4.043845857193189e-002, 9.298719448253817e-005, -0.000000000000000e+000, 1.477487062030662e+000, 0.000000000000000e+000
78980, -4.336902269791158e-002, -2.487809056690642e-002, 0.000000000000000e+000, -3.810513928903723e-002, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -7.621027857807447e-002, 1.000000000000000e+000, 1.000000000000000e-005, 2.254788063100705e-002, -3.937096513495830e-002, -1.194978111253797e-004, -0.000000000000000e+000, 1.442142080026749e+000, 0.000000000000000e+000
78981, -4.336902275509416e-002, -2.487809046631218e-002, 6.896552212279349e-004, -3.774345696309505e-002, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -7.548691392619010e-002, 1.000000000000000e+000, 1.000000000000000e-005, 2.249694470838903e-002, -3.928202581910095e-002, 9.257808313041297e-005, -0.000000000000000e+000, 1.440511261329488e+000, 0.000000000000000e+000
78982, -4.401778111307220e-002, -2.371095343735166e-002, 0.000000000000000e+000, 2.774966514302218e-003, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 5.549933028604436e-003, 1.000000000000000e+000, 1.000000000000000e-005, 2.077620429077710e-002, -3.850091526779310e-002, -1.214066995465005e-004, -0.000000000000000e+000, 1.412521238187100e+000, 0.000000000000000e+000
78983, -4.401778116579240e-002, -2.371095334015885e-002, 6.896552212279357e-004, 3.120830529761232e-003, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 6.241661059522464e-003, 1.000000000000000e+000, 1.000000000000000e-005, 2.073351352933415e-002, -3.842180402147027e-002, 9.206538657241325e-005, -0.000000000000000e+000, 1.411068127191872e+000, 0.000000000000000e+000
78984, -4.463720624405310e-002, -2.252798722163028e-002, 0.000000000000000e+000, 4.454907639807897e-002, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 8.909815279615793e-002, 1.000000000000000e+000, 1.000000000000000e-005, 1.931282384692785e-002, -3.826446868589851e-002, -1.237885816766291e-004, -0.000000000000000e+000, 1.393609908899604e+000, 0.000000000000000e+000
78985, -4.463720629223341e-002, -2.252798712843365e-002, 6.896552212279365e-004, 4.487795057537652e-002, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 8.975590115075305e-002, 1.000000000000000e+000, 1.000000000000000e-005, 1.927644125551865e-002, -3.819238405186910e-002, 9.294617077138399e-005, -0.000000000000000e+000, 1.392295351174858e+000, 0.000000000000000e+000
78986, -4.522099216565684e-002, -2.132703320163339e-002, 0.000000000000000e+000, 8.541055981024821e-002, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 1.708211196204964e-001, 1.000000000000000e+000, 1.000000000000000e-005, 1.723545663625224e-002, -3.661869945935851e-002, -1.238020346319346e-004, -0.000000000000000e+000, 1.349968187416500e+000, 0.000000000000000e+000
78987, -4.522099220765483e-002, -2.132703311181348e-002, 6.896552212279375e-004, 8.571885262867665e-002, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 1.714377052573533e-001, 1.000000000000000e+000, 1.000000000000000e-005, 1.720547756779372e-002, -3.655500563204709e-002, 9.193655939065716e-005, -0.000000000000000e+000, 1.348792213142392e+000, 0.000000000000000e+000
78988, -4.577444160327329e-002, -2.011180059820947e-002, 0.000000000000000e+000, 1.227812150907201e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.455624301814403e-001, 1.000000000000000e+000, 1.000000000000000e-005, 1.560696194990041e-002, -3.544922434330106e-002, -1.235060762262981e-004, -0.000000000000000e+000, 1.316729810737899e+000, 0.000000000000000e+000
78989, -4.577444164131299e-002, -2.011180051245033e-002, 6.896552212279382e-004, 1.230759852064832e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.461519704129664e-001, 1.000000000000000e+000, 1.000000000000000e-005, 1.558160680360077e-002, -3.539163348452017e-002, 9.122228371507295e-005, -0.000000000000000e+000, 1.315658281172088e+000, 0.000000000000000e+000
78990, -4.629701871910628e-002, -1.888297607111616e-002, 0.000000000000000e+000, 1.605721570908906e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 3.211443141817812e-001, 1.000000000000000e+000, 1.000000000000000e-005, 1.416160617671121e-002, -3.472593396888645e-002, -1.233907555322790e-004, -0.000000000000000e+000, 1.292029288326603e+000, 0.000000000000000e+000
78991, -4.629701875153387e-002, -1.888297598938964e-002, 6.896552212279392e-004, 1.608528322648974e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 3.217056645297949e-001, 1.000000000000000e+000, 1.000000000000000e-005, 1.413973916243311e-002, -3.467231358393307e-002, 9.162923588595813e-005, -0.000000000000000e+000, 1.291029828864144e+000, 0.000000000000000e+000
78992, -4.678281422841301e-002, -1.763915161262057e-002, 0.000000000000000e+000, 1.966860410579526e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 3.933720821159051e-001, 1.000000000000000e+000, 1.000000000000000e-005, 1.233054975973043e-002, -3.277210307652720e-002, -1.208269760209905e-004, -0.000000000000000e+000, 1.245173839461563e+000, 0.000000000000000e+000
78993, -4.678281425713126e-002, -1.763915153582300e-002, 6.896552212279399e-004, 1.969494046002144e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 3.938988092004289e-001, 1.000000000000000e+000, 1.000000000000000e-005, 1.231217629054110e-002, -3.272327019318148e-002, 9.038545348697231e-005, -0.000000000000000e+000, 1.244244167341352e+000, 0.000000000000000e+000
78994, -4.723741605271724e-002, -1.638359048636551e-002, 0.000000000000000e+000, 2.295658149832364e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 4.591316299664729e-001, 1.000000000000000e+000, 1.000000000000000e-005, 1.088613481597216e-002, -3.131829812966091e-002, -1.181322404684005e-004, -0.000000000000000e+000, 1.208708773599389e+000, 0.000000000000000e+000
78995, -4.723741607806464e-002, -1.638359041424502e-002, 6.896552212279404e-004, 2.298175411095223e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 4.596350822190446e-001, 1.000000000000000e+000, 1.000000000000000e-005, 1.087015389145101e-002, -3.127232274734652e-002, 8.968135364472525e-005, -0.000000000000000e+000, 1.207819635515460e+000, 0.000000000000000e+000
78996, -4.765958991366730e-002, -1.511675750940223e-002, 0.000000000000000e+000, 2.621280514168916e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 5.242561028337832e-001, 1.000000000000000e+000, 1.000000000000000e-005, 9.540871781241737e-003, -3.009232974103413e-002, -1.153096737277411e-004, -0.000000000000000e+000, 1.176733225349851e+000, 0.000000000000000e+000
78997, -4.765958993434261e-002, -1.511675744213768e-002, 6.896552212279412e-004, 2.623670885907900e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 5.247341771815800e-001, 1.000000000000000e+000, 1.000000000000000e-005, 9.526717679021421e-003, -3.004768718180913e-002, 8.960623511175572e-005, -0.000000000000000e+000, 1.175858501252736e+000, 0.000000000000000e+000
78998, -4.804447183852099e-002, -1.383810100183615e-002, 0.000000000000000e+000, 2.924463150490041e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 5.848926300980083e-001, 1.000000000000000e+000, 1.000000000000000e-005, 8.031079587907448e-003, -2.793967783019326e-002, -1.103261676528175e-004, -0.000000000000000e+000, 1.126866722535599e+000, 0.000000000000000e+000
78999, -4.804447185619325e-002, -1.383810093999025e-002, 6.896552212279417e-004, 2.926708638093021e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 5.853417276186043e-001, 1.000000000000000e+000, 1.000000000000000e-005, 8.018765585173868e-003, -2.789683816419251e-002, 8.835288818205688e-005, -0.000000000000000e+000, 1.126001037409490e+000, 0.000000000000000e+000
79000, -4.839731976190642e-002, -1.255023652783704e-002, 0.000000000000000e+000, 3.198250630441871e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 6.396501260883742e-001, 1.000000000000000e+000, 1.000000000000000e-005, 6.817589633869288e-003, -2.622486663676482e-002, -1.052773048183285e-004, -0.000000000000000e+000, 1.085848968813106e+000, 0.000000000000000e+000
79001, -4.839731977687869e-002, -1.255023647120113e-002, 6.896552212279422e-004, 3.200372998111212e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 6.400745996222424e-001, 1.000000000000000e+000, 1.000000000000000e-005, 6.806536198536442e-003, -2.618234804919739e-002, 8.771810579489879e-005, -0.000000000000000e+000, 1.084967121106667e+000, 0.000000000000000e+000
79002, -4.871636015976907e-002, -1.125358322608910e-002, 0.000000000000000e+000, 3.461665251039097e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 6.923330502078194e-001, 1.000000000000000e+000, 1.000000000000000e-005, 5.670313098373501e-003, -2.456755366534381e-002, -9.985064116086854e-005, -0.000000000000000e+000, 1.045631621763380e+000, 0.000000000000000e+000
79003, -4.871636017112928e-002, -1.125358317497262e-002, 6.896552212279428e-004, 3.463657753611600e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 6.927315507223201e-001, 1.000000000000000e+000, 1.000000000000000e-005, 5.660392372861429e-003, -2.452457059084470e-002, 8.752195868985616e-005, -0.000000000000000e+000, 1.044715571432423e+000, 0.000000000000000e+000
79004, -4.899786721073075e-002, -9.948267041908050e-003, 0.000000000000000e+000, 3.698864815131057e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 7.397729630262113e-001, 1.000000000000000e+000, 1.000000000000000e-005, 4.513480782430386e-003, -2.227405383499004e-002, -9.274862107489490e-005, -0.000000000000000e+000, 9.912056535654812e-001, 0.000000000000000e+000
79005, -4.899786721986300e-002, -9.948266996579145e-003, 6.896552212279431e-004, 3.700713624237652e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 7.401427248475304e-001, 1.000000000000000e+000, 1.000000000000000e-005, 4.504810096991625e-003, -2.223126400093285e-002, 8.637832824505125e-005, -0.000000000000000e+000, 9.902525790275549e-001, 0.000000000000000e+000
79006, -4.924670449628005e-002, -8.636330852244382e-003, 0.000000000000000e+000, 3.908842844596063e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 7.817685689192126e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.577913819452225e-003, -2.033786915136139e-002, -8.567701103712255e-005, -0.000000000000000e+000, 9.435625911541063e-001, 0.000000000000000e+000
79007, -4.924670450345970e-002, -8.636330812547015e-003, 6.896552212279435e-004, 3.910575226807848e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 7.821150453615695e-001, 1.000000000000000e+000, 1.000000000000000e-005, 3.570213295916602e-003, -2.029409727326034e-002, 8.584420976626879e-005, -0.000000000000000e+000, 9.425466932985568e-001, 0.000000000000000e+000
79008, -4.946055154798417e-002, -7.318239050094833e-003, 0.000000000000000e+000, 4.102262337750003e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 8.204524675500006e-001, 1.000000000000000e+000, 1.000000000000000e-005, 2.709659745453135e-003, -1.834592480244735e-002, -7.809314322996683e-005, -0.000000000000000e+000, 8.931360063187772e-001, 0.000000000000000e+000
