"PointID","x","y","z","Pressure","Velocity_x","Velocity_y","Velocity_z","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Skin_Friction_Coefficient_z","Heat_Flux","Y_Plus","Eddy_Viscosity"
78975, -4.123877784355614e-002, -2.826954889639577e-002, 6.896552212279319e-004, -1.969015589015067e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -3.938031178030135e-001, 1.000000000000000e+000, 1.000000000000000e-005, 2.822996602679443e-002, -4.123681173350224e-002, 1.388152160316401e-004, -0.000000000000000e+000, 1.527439212268064e+000, 0.000000000000000e+000
78976, -4.197870084983381e-002, -2.715796887050165e-002, 0.000000000000000e+000, -1.524391954216295e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -3.048783908432591e-001, 1.000000000000000e+000, 1.000000000000000e-005, 2.644484503185015e-002, -4.082345214755821e-002, -9.363166950290818e-005, -0.000000000000000e+000, 1.501819307310949e+000, 0.000000000000000e+000
78977, -4.197870091883860e-002, -2.715796876437762e-002, 6.896552212279328e-004, -1.523504891904320e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -3.047009783808640e-001, 1.000000000000000e+000, 1.000000000000000e-005, 2.637596086845807e-002, -4.071711435063721e-002, 1.379638097169109e-004, -0.000000000000000e+000, 1.499863688872793e+000, 0.000000000000000e+000
78978, -4.269064831382462e-002, -2.602826653406664e-002, 0.000000000000000e+000, -1.067781808580505e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -2.135563617161009e-001, 1.000000000000000e+000, 1.000000000000000e-005, 2.498041509844077e-002, -4.096339747714042e-002, -9.859282138704205e-005, -0.000000000000000e+000, 1.487046041175639e+000, 0.000000000000000e+000
78979, -4.269064837787558e-002, -2.602826643114093e-002, 6.896552212279338e-004, -1.067027037355259e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -2.134054074710517e-001, 1.000000000000000e+000, 1.000000000000000e-005, 2.492282973900181e-002, -4.086896797824390e-002, 1.388255322127773e-004, -0.000000000000000e+000, 1.485332625152163e+000, 0.000000000000000e+000
78980, -4.336902269791158e-002, -2.487809056690642e-002, 0.000000000000000e+000, -6.123773181396643e-002, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -1.224754636279329e-001, 1.000000000000000e+000, 1.000000000000000e-005, 2.278427185985231e-002, -3.978372902089985e-002, -1.017566703090657e-004, -0.000000000000000e+000, 1.449681325363253e+000, 0.000000000000000e+000
78981, -4.336902275509416e-002, -2.487809046631218e-002, 6.896552212279349e-004, -6.117754193746008e-002, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -1.223550838749202e-001, 1.000000000000000e+000, 1.000000000000000e-005, 2.273804284405894e-002, -3.970300845976608e-002, 1.374925448402156e-004, -0.000000000000000e+000, 1.448211373580612e+000, 0.000000000000000e+000
78982, -4.401778111307220e-002, -2.371095343735166e-002, 0.000000000000000e+000, -1.915468812817951e-002, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -3.830937625635902e-002, 1.000000000000000e+000, 1.000000000000000e-005, 2.099604603288314e-002, -3.890830961985944e-002, -1.043266223066212e-004, -0.000000000000000e+000, 1.419974055756100e+000, 0.000000000000000e+000
78983, -4.401778116579240e-002, -2.371095334015885e-002, 6.896552212279357e-004, -1.910208487825529e-002, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, -3.820416975651058e-002, 1.000000000000000e+000, 1.000000000000000e-005, 2.095872996653891e-002, -3.883915835945029e-002, 1.361317066596968e-004, -0.000000000000000e+000, 1.418713042642686e+000, 0.000000000000000e+000
78984, -4.463720624405310e-002, -2.252798722163028e-002, 0.000000000000000e+000, 2.384081015288431e-002, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 4.768162030576863e-002, 1.000000000000000e+000, 1.000000000000000e-005, 1.952072887861820e-002, -3.867639061086785e-002, -1.072986865952831e-004, -0.000000000000000e+000, 1.401090250891235e+000, 0.000000000000000e+000
